"Year","Recruitment","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,6.68539,3.07075689624277,14.5548608900906,-0.730176,-1.34256086707759,-0.117791132922414
2012,23.1666,12.4780526685827,43.0108262735006,0.514015,0.153293428465326,0.874736571534674
2013,9.64642,4.3444312285618,21.4190106646492,-0.359689,-0.995036805120457,0.275658805120457
2014,31.4063,15.1104023408027,65.2765993547727,0.822985,0.286205743626046,1.35976425637395
2015,78.2795,36.664696980094,167.127526611684,1.73797,1.16322232131754,2.31271767868246
2016,11.6246,3.81835496954706,35.3899326379363,-0.323511,-1.39162081287089,0.744598812870886
2017,15.0312,4.59488516909184,49.1714080168527,-0.0639443,-1.23403495891447,1.10614635891447
2018,14.7877,4.53267318336066,48.2443940791396,-0.074813,-1.24015074625196,1.09052474625196
2019,14.7087,4.50574204600914,48.0155884382293,-0.074801,-1.24014266617993,1.09054066617993
2020,14.6438,4.48287566201747,47.8355623951197,-0.0748011,-1.24014276617993,1.09054056617993
2021,15.7701,4.88814843913106,50.8773530728149,0,-1.17597839072403,1.17597839072403
