"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","29.2386","22.1898639245595","36.2873360754405"
"Unfished Age 3+ Biomass (mt)","354.369","278.672054974688","430.065945025312"
"Unfished Recruitment (R0)","16.3265","8.52168821788336","24.1313117821166"
"Spawning Output (2021)","21.3531","10.0550248085978","32.6511751914022"
"Fraction Unfished (2021)","0.730305","0.478727942872408","0.981882057127592"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","11.6955","8.87601340967975","14.5149865903202"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0606125","0.0499773826263685","0.0712476173736316"
"Yield with SPR Based On SB40\% (mt)","8.32062","5.56822297687056","11.0730170231294"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","13.0449","9.90007898788595","16.1897210121141"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0522769","0.0431159107384207","0.0614378892615793"
"Yield with SPR50 at SB SPR (mt)","7.94547","5.32050983514535","10.5704301648546"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","8.04414","6.27624072616096","9.81203927383904"
"SPR MSY","0.345595","0.337700304269552","0.353489695730448"
"Exploitation Rate Corresponding to SPR MSY","0.0910437","0.0749175083280014","0.107169891671999"
"MSY (mt)","8.82444","5.8894919313505","11.7593880686495"
